wallet,score,total_coins,win_rate,net_sol,roi
76kQ41jRg7zCSjUH9keDr2tFGbVrQJ55rByzxhBg2Vz2,60.5,101,0.727,14.4,0.47
Hv3fPDH9bd1VNK1BjRQyjCYUK9HrXwLGfJ37mEeUJdrJ,60.5,116,0.673,13.6,0.47
WbTbjcUiiwNRHVXMxq12fs6Z5mwEiK73C8aFTpv9kSP,60.5,101,0.831,2.5,0.27
57WkTbDxxu3tC9Nhve8hQms5KBRa7MFEPSnnEeThivvX,60.4,331,0.663,251.6,0.45
4jBypFRD9aXrJTMRvzFzJhVUx94BHwC6vzg5z4hPQ7eX,60.4,80,0.672,92.3,0.72
FvroytTXQTRZXPysmqrCQYLScoZQHh2bk8QMNCnaTsCV,60.4,130,0.674,32.5,0.43
9HoahHpe6nVd2SCMkDC4QTMpRke6ZNXhkGRmLrd34HpR,60.3,35,0.83,57.3,0.73
HFReDpLX5DAK2MfWLNnmqCRJK4ump1SSwQYnn2VkMEmi,60.2,60,0.647,133.1,0.9
FRJY6nqE4FTKJtNjEx8sqHqKPV9c4qWwowvrFZvASqWd,60.2,54,0.707,125.9,0.83
63L6GJUcgepuCmQ3L8GftnRinfynCie2V6G7DV4QayAj,60.2,140,0.729,36.4,0.32
2ycurSWTPqY6wcPEboA7ZGRu2xwsZD7b7MxdA74qC3Vo,60.1,197,0.707,237.9,0.35
5h5ekqtUiJ9PcXQmuEXioZVaFPZnZUQtJ5oQxpr68VF8,60.1,435,0.767,138.8,0.24
3a9HrXvCH1CzjK9LxTvQWG9KYF2diuAKGthP3gFu3J3J,60.1,80,0.679,89.3,0.7
4qgnvMuDhCB4jQEL9Wa5isQSqvzsRkjEWB5Gtn9Ai6iY,60.1,80,0.852,45.6,0.36
HaRm6iKXfiwnRp4BnJ6um4pjWUwht8No5c19UXWc12TZ,60.1,84,0.915,41.4,0.21
DSnJr98RDGyBLSfhinq82GyqUYjQeCPtthpUr4mRFsTM,60.1,34,0.886,16.8,0.62
5Pr7D2d5WUM7j8fMF36DuzVDDGEHLtYsF7a6ezyzFG19,60.0,232,0.738,257.6,0.29
32HsZhYDuT6ki8etvXZjwjdYGqedfYww7D6Pd6yx1LjY,60.0,54,0.778,83.7,0.69
2a3eG6mGi1STXrDY1RtzXzdgxNkczWmF1HqGkeBAo8M6,60.0,174,0.785,52.4,0.2
7W8SEZv79hk4445o56Fd6RzhbUsozkzGXi8vkc7vNRr8,59.9,596,0.71,55.6,0.34
2CFAYvWyPAgtkv8ijSQLzpVqtfyYty9Wc4AZaECzWPJz,59.9,151,0.68,36.5,0.4
6HJetMbdHBuk3mLUainxAPpBpWzDgYbHGTS2TqDAUSX2,59.8,145,0.651,622.8,0.45
3wVpzKVGXcnMDPMYhuhgoNXSvyxUZgTQWt37DTVKWbsd,59.8,79,0.779,85.2,0.5
GEcF6sHyGDLrJ6NYzj2uEv2hRbSpwvLmmvm1k8A9VGhc,59.8,76,0.867,3.2,0.35
EjtQrPTbcMevStBkpnjsH23NfUCMhGHusTYsHuGVQZp2,59.7,154,0.641,283.1,0.46
FCmNJWpCH9USusuwRwWqWE8sVKJSt2xFrhvBMK5YtaDs,59.7,67,0.768,54.1,0.6
9yzDcVC569tYadQqmuNPGNNa3ZmHA6AY7tdgWnSEvDbi,59.7,282,0.705,37.6,0.34
HXRyC8steAr7viYqr92p3GaT4LQtsXqyjkicewLi3Np9,59.7,222,0.7,28.3,0.35
9953RUbggvxRjveXmHDFmP9To63anQqHEFy7Ymjn914a,59.7,144,0.747,23.5,0.26
FGB3zBg8RXhG9RT6BqfhPRtuWhwAU85NcxCdgsDJDMGD,59.7,35,0.891,16.2,0.59
BCYtCrywdgAsox5htAt7sq3mCWxwonXq82DHCofT46xk,59.7,120,0.695,12.6,0.36
58KxY1mmswzE3zk23nPamtqLvkt41cimy9U7EUoNgYfD,59.7,61,0.839,3.6,0.5
Bi4rd5FH5bYEN8scZ7wevxNZyNmKHdaBcvewdPFxYdLt,59.6,366,0.634,976.2,0.47
AtFS2W1dMWX2oBef9dJ3gSx5VKXfzqvasbY1iMWAMxGT,59.6,210,0.637,283.5,0.47
C9DYMFTTEsXDzXs5SSUv7FA8sRmXYaceTyGnzAyxAVW8,59.6,244,0.747,79.2,0.26
FyJMCivEUsMiNEEMg14eMk1ud7RZpJSVkNxJtiQg1Nab,59.6,79,0.709,78.0,0.62
tXDaJ9VLk1zgx3GLnrVLQ4kmZ3XaaYMDPVqzVibcif3,59.6,50,0.766,64.8,0.72
GS73TtCSbjhBLr9MNWeZ5A1cwowecYx3TWrdvUEYLLYu,59.6,44,0.688,54.2,0.91
3BMf9KCSuYwCKNYZDk1Nq3Lcz4nfiab2mCxqMXc6QW6R,59.6,89,0.834,32.4,0.31
CoLABCacdPmEYPtiCkEaD5kED6tj9AD46caJsPnxgcYa,59.6,149,0.729,9.2,0.29
3vqjt5HYDoaUAQHeXEMvbc869afWUv6cGMBhz1XwveFo,59.6,129,0.71,7.5,0.33
bwamJzztZsepfkteWRChggmXuiiCQvpLqPietdNfSXa,59.5,61,0.851,156.2,0.47
DEdwtjvCs6dSadA8b6EQwCP95mXebTqMDK6wh13xhdpR,59.5,262,0.65,130.7,0.44
7iGon4d6iWsT8xPLLDC2sguvuKndzkpnjECyBDxowPTc,59.5,48,0.646,39.2,0.96
262C3MHpmTybZbKfcZtyYRMoW1rKVAKDC9RQwWJ2qxWc,59.4,143,0.691,37.7,0.36
5jYnZtj6NmEbuVnuiuJN32hd1BFrzawWiXS2XAwLKRmq,59.4,169,0.682,15.3,0.37
FN8a9ojy1tTGMnmr26V4fuLkpGNLwLSYuUctFoxiQq6o,59.3,128,0.681,85.9,0.37
61693GDxzBDgr8y5gssTKNoHu28PFN5BvHE2psNN2d7w,59.3,239,0.747,85.5,0.24
JBV41vYBL2b8HuBmNcCnpRoBfrLDJrUFViQFPJ2vZrWd,59.2,50,0.775,130.9,0.69
FFiWNJX28uBJAaR6bmUq2Qkbdm1fgoEZaChAXZHghseb,59.2,142,0.704,48.9,0.32
BFAi7zGyM3QdohMmWPmuf3s2HAe1FzGQWMxnEJbNfaVU,59.2,45,0.825,27.3,0.63
GQiyr21J5Qk7j3iudz52h1M6jjtX3Qne7QPLwrJK1eFh,59.2,130,0.765,21.0,0.21
4gLD8PqvpvH3cFvXd6hwZw13pqLGWQSjfPBjdsoZckyR,59.2,34,0.671,3.0,1.0
n9usCMCvv47wACVxUZkLFwcxmYf13Yb3SJXFxEcF9rc,59.1,142,0.652,62.3,0.42
CpCBGRcPSyutkH2x1RVRsPBRKziaZ8xys54PVDdVfoWo,59.1,123,0.691,15.3,0.34
EL5dM5HmLWQbPxV1A4NzW3jLzaumPHpByxKnso3swD1a,59.1,32,0.636,15.1,1.08
DvVVyomtBLmpjBur4vokKCLW8owGrKgiCNj63WG1ueaq,59.1,179,0.723,2.2,0.28
AcWaMe4BGcbJZ1THcokeeqsdpoL1JaCozSb3CadVa3qz,59.1,66,0.834,0.0,0.45
HMEeV8X5hobyeSDjsBSSAYq85sTN83qeX2wfB9bE4RWi,59.0,180,0.693,83.6,0.34
9N6EjGajgTSpbjwhCb9LKg5JsAkBw8qkqBhaxdqP6DBL,59.0,40,0.75,71.8,0.8
ADkquSiH1zS6LmGoJxzwE6x44gpE6S3KWLALqNc3sTDs,58.9,394,0.729,35.3,0.26
BEYHSLCU1SzcJrbUprXRy9bDZGGFuZmrbUtA6FwkJTuS,58.9,89,0.819,33.7,0.31
D8wcVkkz3kRaDXYt2AFeESeq2xDv2FUCYGa9pUJz2NoB,58.9,108,0.635,5.8,0.53
DbF5DojVT7BcqPAatxC6AbPrAuPY8F6qeB5zBELLsgKE,58.8,26,0.73,66.2,0.93
GpWzQoGQRY5Lcb4NTeZvb2HjCcG5y8Wy46TBejzZu18g,58.8,562,0.74,64.7,0.23
2mtUno6hv7U5yhtuwmGm1DAxeVAkmjCv9gFWUfmtHe8v,58.8,138,0.755,31.1,0.21
8v4Cz7QsQoBXpA4pwkzYB8KWcap1Wu2YfaMXRnn2xwLi,58.7,55,0.889,106.8,0.41
GRYcjRY9epDCnHoH36H5aDPmF985GjCqPbtZA8zdVEB4,58.7,54,0.89,46.2,0.41
4iMeL9f4CpeLXz8S7j1ATwSACNDciVecokwt9rX5wLo7,58.7,42,0.852,21.6,0.57
GnPpMBbg981i7H7HbTBT3zaHRKEN7a9795JHwmSDs6Ui,58.7,93,0.744,2.2,0.42
7QpqwbZFnMm3MW9YAxqKnCnMPg6Vuhk4Kr5Peotee8aT,58.6,73,0.89,58.2,0.27
2Y5UatxnQWGv6URdieEZxwCi2uNE2khoqRU8ZeMyZvyh,58.6,78,0.729,43.4,0.55
C5EMTGGE87SqLyuvhShLDMj2jUBwqBLJAZF6ybK8Jyqw,58.6,128,0.707,17.7,0.29
BNqfkxRXdkH1EeM6ZiWtgcySKfxcBL58ENDo9KDZWYB,58.6,99,0.806,10.3,0.25
8BWGt7xNgdaSRrtkENz8zemX62VC71vJm5bi886gcpnx,58.6,181,0.707,5.6,0.29
DYepC7YoUMWmgT6Mzm5RQQbbUADoSrYBApQtZ7zDujib,58.5,108,0.742,17.0,0.31
4wG1d7aS9oYpA2ydwJCxvTn6i4cexshyJmHh3myqeW5h,58.5,37,0.763,0.0,0.77
DGXY2JjP6oExuaoUM9691gdz87xNTBHfv97D3Mzb39eS,58.3,51,0.805,53.0,0.58
6MZ3QbsicNCkhoNp99Parcr9sitFHxMftZH2U5eoxTo3,58.3,89,0.804,33.0,0.31
4hEDRBXSMbrV3tNCc1CyfxbYUYyptkqFj3eP4f6PF8Gs,58.2,36,0.689,47.4,0.91
DebZcLrzTpcfwZ89W8UBEN2eBYmsLqkxfGJFKcu5UzyS,58.2,120,0.691,23.6,0.3
25m1R2U1LK672XTrvGDHUVdNt4jzkvzW45q8558dN6FH,58.2,30,0.931,6.5,0.48
4crpAYFUmGJqNMqfhVKDsMBhSXr2PSMwCUQRmFfy7naL,58.1,211,0.636,252.1,0.41
24atZ9mr7A4HFoxJ5sqEyGrhKftg6MNe7yuKk5TBo3pc,58.1,99,0.646,103.7,0.54
2o9UsXTRWZTfPt2mgTpUM5NcTCMKHsgox4nFdwTVdfks,58.0,51,0.78,59.4,0.62
6GFP22aDzB5QBmxhxYwrRsR7BuQywx5wvvAfVXEv5vtf,58.0,143,0.615,53.7,0.44
AS6akYpZQydPnhrphuEkzAajBLYmkByHcKcMuLHfbEg8,58.0,144,0.721,34.9,0.24
5xbfNEmJoXgp3WnmzzfQgtziSyGirTkNCq4X3wpVbBcD,57.9,121,0.695,42.5,0.28
77M2QQF5Kt5CJr5WGL3SYMEukYf3i2STLb8g6Mfy4yb8,57.9,121,0.711,24.3,0.25
BMTc1CDg67cQrbV14uc99whNb1ThqZBaNg4RpsgjAZ4C,57.9,147,0.632,19.5,0.41
EzWeTVnji1c5oh5DenSbcSELyETb3iXHGr62wao5Vguw,57.9,64,0.792,4.7,0.5
CfkaAru9ArJ2tAStYHvbAyRBJL3EhDzsWYV2KYg9shxB,57.8,176,0.672,100.5,0.32
FByYKwwoPPFiFHRiccE5CmyAkXybUWfKdPoXxLpMUHF2,57.8,37,0.692,18.5,0.88
4BdKaxN8G6ka4GYtQQWk4G4dZRUTX2vQH9GcXdBREFUk,57.7,77,0.637,295.8,0.69
2BceynDKAYRoZxKL1LYUALJ2pVsDJB65MD3EJcWG916d,57.7,207,0.69,116.0,0.28
ZeuNH5E4HCB7D7PK25egaoLHrEFfdtzBxYF5mat6t1y,57.7,48,0.713,64.8,0.75
A3Mpq82gqcqVwgwEEQArApaDvXQBPVeuL27EefYHGhrK,57.7,79,0.804,60.6,0.36
7H7qVMZT87q8DdfJqRAMLceSMauZv9oNjno6zmGevRMY,57.7,40,0.897,14.8,0.46
DjBRNMDNU7ApvkW5Qux9xAkcREKAPwoifEGCBtknybHd,57.6,43,0.646,77.7,0.91
579Xcu7US31E1DDVyiEVJH5BWdQjP7irh9YivAmgccHf,57.6,53,0.809,27.8,0.53
pekN74koZ15b48R8Kj3N9disT3XjaceT3HjfnUfgmwE,57.6,131,0.718,11.9,0.23
iPUp3qkm39ycMGbywWFMUyvaDhiiPGXeWXaDtmHNe6C,57.5,222,0.601,758.6,0.45
36gyhadZPC4mbxkVpBP9NRQUhRV8BvmtdZcRFZnqfwWP,57.5,152,0.625,85.6,0.4
DGma4Uxm9JS6yLNdgYaxsZhwk2nxrRGMfMt5buXbiFCm,57.5,115,0.722,48.8,0.25
GGcbVWsAQm4KcJrRpgt1oZtFfY2a4mhYFe72VxkFrRt8,57.5,42,0.859,21.7,0.51
6GaCHTdBV6P92YMQJ8Kk6RYaeAQLRfDmTnvqhuf3p4kD,57.5,237,0.691,7.5,0.28
7MRTsGTp8kmuEWVSuVm9ypcUvd2RDi2gqu3Uuiz2TvF6,57.5,159,0.688,0.1,0.28
kqVRrMSfaWYS7b9Q4SnNq55b2W2VBPJUjZ2sQqppUvr,57.4,158,0.66,69.8,0.33
FRtBJDK1pUiAVj36UQesKj9CtRjkJwtfFdJq7GnCEUCH,57.4,93,0.739,54.8,0.37
EML7qcuojsjKWVuUrhWYGDtHLv8wnuj4EfpMqnN87zB8,57.3,69,0.665,42.0,0.68
jCBdzqdfXsHBM2VYNELyhj4VGSfXyhtwaAgrY6AmvgE,57.2,174,0.635,90.5,0.37
4R1F9sKeb3ri94rRLDBfc7V532udumzzHxD2rNmvyEe6,57.2,156,0.723,49.4,0.2
4LJFfiJNe4F7poKhHHuKQcmccHbJxXFXFnQHg9y91Tab,57.2,105,0.771,11.8,0.21
7x6AHogMm2SYoYmJwiRm691ro3eWTQoVz4taHK6Q19AR,57.1,168,0.656,285.7,0.33
FmPQr2vAyHhRVvC3K51Ljp14jCmV94TdYsLA1vgYpGzm,57.1,194,0.669,63.9,0.3
DsGJkPzFEQZuwy7JjZzPcJEyEfdC6StV7rarXG4ftRSA,57.1,101,0.725,3.4,0.33
8aaRWuPGNP1qoBk7jE9ZRMaUhNnCn1cujjUkv6KoEzVL,57.0,558,0.713,34.1,0.21
J7aXd6wiJ7tpYXnTkS3Ryrk5SX31KzumaXxuD8MG4Bpx,57.0,46,0.817,26.9,0.54
GZcqwMMTMdeNze6yvb91XEvsPXgK1LvNbaPjHMJkLjQW,57.0,95,0.763,9.6,0.29
7bsTkeWcSPG6nzsbXucxV89YUULoSExNJdX2WqfLHwZ4,56.9,91,0.678,323.2,0.48
GNr8d4mYvxTSR48JZNPaTqjUB2Wb3Hp7MPpYy11AX8hS,56.9,432,0.688,68.7,0.26
CNMsr9Sz5Mim86dgo5kAjwvFL6mp8xPYHu1UxJNeBNWP,56.9,29,0.732,28.6,0.82
66a3hS7o5mKvtPUmQkR4ApKfoaWHnKEBMmvNdPezxdfE,56.9,60,0.746,6.1,0.57
5KqvqkDu4P4SS1s5XtZj1u99negSzYihqcPHjVjX6ve5,56.9,204,0.677,4.7,0.28
BiwwCrjpdFQDRq64GUJskVeNmPhwErWKN3TVr3KHfM7S,56.8,55,0.85,111.2,0.4
GnqguTwbdpyirLNMRiYDB5MpMF9gARgYy5JuiQLETnbq,56.8,150,0.702,51.0,0.22
2un1m91i78ZHPLjR4UwwaEzQz5jsehq9p3t8EZZZZZZZ,56.8,397,0.662,5.0,0.3
EvGpkcSBfhp5K9SNP48wVtfNXdKYRBiK3kvMkB66kU3Q,56.7,101,0.673,198.1,0.41
4ctbRZd5yjC5UYfKgj3dC2f1pqwtpYTS496MjnLQZ1qS,56.7,77,0.606,101.8,0.71
FhZmTCs7enzPDN1RpgJPUcZPfX6FKJ9uqj7ch2jtggGW,56.6,232,0.69,209.0,0.24
5st7H8QtPEVfovSwLmdJDjbUAQivVZJGzbHCir6dZxGc,56.6,203,0.653,150.0,0.31
AWScLix3LSdNtRvwnkWcHpMnSwXRq4QonCHSK7izyKeD,56.6,83,0.655,139.9,0.57
HJanh4pRroez2icDzkNdnF889wMUYDMvKPaR8FmFsnSk,56.6,49,0.728,118.2,0.67
H1pe3KDTzap2BAuM3onjZHTM8pGbegtDuKdpZn1ePzvt,56.6,159,0.648,69.5,0.32
4n4okfassXvAMWCpZpTDY3tot4Ys2oB7gnAfGdNXQieS,56.6,135,0.69,55.6,0.24
12yegC4pmbKbByAzjoyH1u3xQfN6bUgGPv4hj9TYGtD3,56.6,428,0.667,46.7,0.28
FhPn1pP5oSAAtE965HjLabwYMADr59KBiz27D1FuoTfK,56.6,93,0.753,38.2,0.31
9CcHU3rPWc6bA97AHNaS3Dszk1rKAGBcgEkuyD6QVGsh,56.6,150,0.66,0.1,0.3
BCnqsPEtA1TkgednYEebRpkmwFRJDCjMQcKZMMtEdArc,56.5,34,0.681,60.8,0.87
8yziUrT6xCgE8cKSByF4zjdYnuLTkMHTotcHaCZka5DU,56.5,91,0.747,40.3,0.33
BHBFuHsPFy8tyDMZVaepcjHcQzxMyC3ZsJSnCSvGfhEa,56.5,56,0.852,18.7,0.38
8hQBGkUzxJHeJTxr6iVYheZqGpooNm49vCF3CKprYYZu,56.5,120,0.665,3.4,0.28
64BKevGHFgkrrJp1RW9hkSLPD9FWtZBSCrXFXTHzR2MH,56.5,104,0.709,0.3,0.31
FtTWnrFen7fPCLj3KYVYnfJpthjpeye1hyaQRSJFt8pU,56.4,165,0.637,139.1,0.33
7b6UxPg3TKwQGN9JeFzRuRs93ushNxfF68KoWE4SwKfm,56.4,161,0.679,128.6,0.25
3S4HvgLnprrdHEfLDWDrYCsohSpeggAe31HkERqmG6hp,56.4,128,0.663,63.3,0.28
BS5ZZpkieC2N8MJhSDuydRWmvX654F3cEMboz4JkJum7,56.4,91,0.798,10.1,0.23
9q4p3rGdpaQ92YU7hGaT74ZKgP9hjy1rFVDdamzSfuox,56.4,70,0.651,10.0,0.66
Cisez8PJ2nBELmTVuxUaNYbeo9dHdYYNnFWy7iRuPTqq,56.4,55,0.835,0.5,0.42
9bqx8GEcwuw4r3WzhWnJx8fpjt7aXdvVZhWE56bzWBoK,56.3,44,0.729,58.3,0.69
3hpHYrjEyxoSzYTbxXDMprc8GHxTKwtGo5HwNdXFBzDh,56.2,284,0.615,201.6,0.36
6abTpionfdvkiQAXQf9gLdpkXU57NeCZ2Dnwb5GSmMsX,56.2,62,0.764,35.4,0.49
HdzM4i8iySA3qJb8KiN2xcch7MnGtN7ga8dEGmy2cuwH,56.2,126,0.698,28.8,0.21
DeACsPTgJT2dagNsUkTuhVG2ZW1DtmPJt4E1BwhWNxc1,56.2,83,0.604,19.0,0.65
DqhDuYbRfLoiyMZJdqEKXAA5yaUPwUGHzdD3L8K4btSL,56.2,120,0.696,18.2,0.21
36ruosrN41ULms8TuJZx6JY7HjdU2pDHoYVoUX2nVt4d,56.2,47,0.926,9.4,0.29
CRe8B9xFxw4VAjddnH6p4HfKpdQj1Wageyv9AcP1J39K,56.2,103,0.696,0.8,0.33
7bWimGRToZRULUjo4iynrwGRUgdmLsCWZTGh3JvxEGdj,56.1,296,0.601,218.1,0.39
634W5kisfp8eRwbFQ5pN4d9MzPms8MbzixMZJpFbWVe8,56.1,181,0.671,167.6,0.26
kBdpGYxD3V8JKe2LvkykbvXfvQvpszyaSS1mzXrFk5B,56.1,115,0.609,137.0,0.41
CjqTJsm2qyMinWbmgh5QipaezVXdoKMyzbyZdURkNuTn,56.1,43,0.696,31.6,0.76
6DRnw2s1Huo2MnRYticVRci5aJ8dkVykSx2hREbeDJBy,56.1,73,0.804,21.9,0.33
GUorX1qCqqNXb6feCp3ZPKC8KkDxc9gH7Ho3ZqDFGX8v,56.1,287,0.674,9.3,0.25
8iwJFTBRgfJS8Z5Gp1iL9xiwjDLUNkqmnzqvyuLS15ub,56.0,206,0.638,154.0,0.31
2RjnQgvAhbEAWkJFZ9xESBjPVcUqgmdsdxXAq8bQDJeM,56.0,291,0.675,64.9,0.24
CDmFtQfpLgbeUzD34wtMVHtpF5bPt4FCs7xFCqh2KnAf,56.0,41,0.798,43.0,0.57
EVy1Tpe5AQCLEJwfRCm1rHs7PY2sGuvc57dnqibqtMZh,56.0,33,0.906,3.1,0.42
6mAHkEZ8iPcPQyXvEF73GeFbXVg6WDqrNe2u1bVsYUUP,55.9,470,0.608,324.7,0.37
DcRXXBtifMsTTwtqzMcAZWfoLfsBMgyJqPDG4i86NN52,55.9,471,0.609,261.1,0.37
99xnE2zEFi8YhmKDaikc1EvH6ELTQJppnqUwMzmpLXrs,55.9,130,0.633,212.4,0.32
Efij8SJjG2ByPr6vKbykWu6A9HwRNdsBjqqLiNCxqaJr,55.9,55,0.861,94.6,0.34
4ESzFZUWUdr2GsgHBVeQKuzAmBWS5sRSaXw6PZH2EAau,55.9,179,0.683,64.2,0.22
jiGWK5GpuJ8XKx4Y9iNR1JevWV7HAL2YYXbYsGjJrmU,55.9,58,0.826,46.6,0.39
6GGytYh7paCtSpHbNQEhEsLxydpzam7SjPJHwxFvU332,55.8,149,0.69,77.0,0.2
H3n5JUhCL2kBmYV5ve4VLjZMcN6WKDuASxHATs5PYeUq,55.8,82,0.799,6.7,0.26
2DBdpvnEEPnMnF9FeNJDguKsKbfTNF2dse7FeHhYseCP,55.7,54,0.848,108.8,0.37
F5SwwVK9g5qzMGyeR55WC1aTuD9rmf3QPK6G6FP6xcXg,55.7,44,0.811,36.6,0.51
BUsZNTgmkeiqibgZBb4nFoqZJosiTgqdpMEqDDVK6xpr,55.7,45,0.687,13.1,0.74
GUDP1dP2C4S3M6dYrSXMFPumWg1Gt1s1N1FqAThsiXWZ,55.6,351,0.655,116.1,0.26
7a4XEWA6utPnJSrBBMPkSVVaNTcWhkheocX2koBz85Fc,55.6,261,0.612,40.3,0.35
BphfhLUeTZAfDdDzzJjuYGPKXvjcrR5DNYuKzCPSQPYA,55.6,64,0.753,24.0,0.47
3TB4EwTwSrkWgjubYYbd6JNmVcTSJ44EgMMwKm8HZABQ,55.6,103,0.741,11.0,0.22
CUAJaXr13bnyYNuDk9N5RjPUQPceZqvXbyW5GXUs27Y3,55.6,85,0.77,1.0,0.29
2qW5LsgAGnCnyfVvzhwBQBfLsQ6hz3o2uaB29U3CSHBy,55.5,103,0.68,235.0,0.33
7bHSvUeeWiqsoJcXg8iNfnE5RSMJqghHZq2dJuW8kiSC,55.5,107,0.693,72.5,0.28
5jjc6SmMdGmepm474KJFgWdp6XPkoRXrU4bQ14BD5v9z,55.5,152,0.634,66.6,0.3
7z6pcVMTeFSAc8NGhNm7HcwY1f8jG5GhTwNktkjRAGE,55.4,60,0.778,51.1,0.45
Bv2BAw5UmKxv5SBMWYKqpsh6eXKNGM2RKxJGpGPk5vmb,55.4,65,0.837,36.0,0.29
BXAV9eawLMVuDp2x4AzewAAzUJ8G5H9CYhZY2xrRR1Dd,55.4,37,0.783,21.2,0.6
AADSwixnMV6v237bv9TiLaSrqNEobQxKjwNDWxiBtjp7,55.4,123,0.668,17.3,0.23
7ZdBRYSb6xDVKfmTwttcCj9G2QmemS8TWhPAoJkZinq5,55.4,35,0.726,16.9,0.73
7712QHmAYy31uvrRUCDBBaHAhMnCnJY5Q2zJ562GHm4P,55.3,48,0.764,50.6,0.55
3AbTZfWrZcqghkSUkQ3wnERnZS6KC4SfEAWdy5BA8ffp,55.3,159,0.639,25.2,0.28
8mB4yQi3RrnB1cEwUVCjabTCwa41GcehpDvJ9J7s87f9,55.3,115,0.652,14.8,0.29
77JWRtHa2S2J765DDsvhgu889zhJjrkwf9JV1Gkk1CR5,55.3,190,0.61,6.0,0.34
ayqDNs3eCLSpT5vX2TrNEtzGfktzeT3vJTZieSzyecT,55.3,30,0.792,3.3,0.63
9hUPXYKY28sPfBHciwVJDaT33uFqgPzHvwViFkW9EAcm,55.2,73,0.782,70.8,0.34
3usGNZ9EBmVFmA15DgTWvmFuBTPEic8Mvo76gp5pDLum,55.2,115,0.677,18.0,0.24
7WpUUSnZ9BkfLv5XJ2CHVU4uuPrnxC9tH5tDP8gbSxRF,55.1,191,0.62,411.0,0.31
6FWhUybWmnjsQ933v2r6o7bhEG5yH9g9XsV7NVWKj5EW,55.1,192,0.642,177.4,0.26
2Zfud6rXjmXwF4DdEmjNHPLpuBzr1Gb96YD6RtdZSYYh,55.1,76,0.684,52.0,0.5
DdY5cSGEHBuHQinikpBcsVV1x38KGT2xhGSDB4DTKqtR,55.1,123,0.657,16.2,0.24
FDggNtP4oMJGb7ZmG2VkG7gh4UJLSnAX8c1jfvueDWDY,55.1,75,0.719,2.1,0.44
BR1fyh4GcYunLHmL7WkwTuZgcujNVXpjFG1eLCc8uNaz,55.1,167,0.649,0.8,0.26
56JzAf7QGttcFCuwbgnawbiHEzUmU6aUSDT1gWFhbfsg,55.0,198,0.634,292.2,0.28
6XEqkk15Auk492DZts2cvsCnJzhBtFCPHJ4X2iXKJh94,55.0,55,0.8,118.1,0.42
FCLGrDBwbJAHAiwuAWo9jSWEjzdpwuBzvTrpPTXqjgFH,55.0,110,0.657,46.2,0.3
FikqPSegrMUKqGjfNJuJxyqURurkhaF5dKUhPJB96hpn,55.0,38,0.852,21.1,0.44
26ALqd5aUwbm3zxcuBtvegay9wWp74MLnTAuNRe7RrVq,55.0,37,0.756,17.0,0.64
CHtt4CqX9LAN7MeUSXPSrwaSpxPJ89Pmw1KPh2RSCuZG,55.0,359,0.607,2.8,0.33
G8fnwWvrPqy9Fjw8VCcMxzbngHoCucM3LYaYuFHdZtU3,54.9,107,0.692,176.7,0.25
2W8eoT4eptyprF5WPRZuiuavyF3Dzvo7Uh4CMYyFCN9b,54.9,80,0.627,119.9,0.57
3bjUVy8jXvZ2QVxGxFzDeHrhh1rC7NNgBRLRQjeXG3fF,54.9,55,0.8,111.3,0.42
4EbuuKzyLkbpQUU1G7pYd7ATCk82n2zVLcbLfLmgq3fW,54.9,55,0.85,82.7,0.32
Ad8YGs4QWV3PfjtvTVgTKfxa2JhEtgRPESqi9XBaQHMF,54.9,119,0.634,74.9,0.28
7YDyX4KkPVW4mEaUZCwfabr2FQptnbmTMJX9JTAF5y1D,54.9,125,0.647,61.5,0.25
2YJJtGtB26NQ15E87LHdj33gukZTiBHLpd8oUpsXWVc9,54.9,46,0.71,46.5,0.65
Bs1i6SgnpAhxEQNQ6quAbMrAxTaDHXS6A8KMwbconiCo,54.9,50,0.82,25.7,0.42
35caaJFwzSNaFwFmP1f33wDP9cUFEXTLDsFnjna7kAjs,54.9,320,0.648,14.8,0.25
GFbSo9mukzRXhueFvdZ3F34AGQWRPjyXpqKToTqkTikJ,54.9,54,0.916,8.6,0.2
8pdLwsPATC5mdrmEsJ1UDAN5ndioYKPTCpwpvZ7ec61i,54.9,65,0.753,0.3,0.44
2DcYQBjFps6F7sY4gJgsVzuzM7VSrUnC7JQS6dWcaU35,54.8,239,0.661,206.0,0.21
8JmBAREqGv7g3N8PQLJ1hLEUE4VTtiDFi5XqL8gyPHfz,54.8,66,0.667,124.2,0.59
816vNWE8JqWeASP5UU8WEht8hJjCVqZZx521SJeBe2XU,54.8,50,0.733,42.2,0.58
BiPhbk4ezJpv76znUkQgsEr8JvDNczQjGfg9ykXL43QL,54.8,45,0.681,28.2,0.71
BMjETmauhBPeArAkA498ws1e1MJCQosU7boKfm6x5uah,54.7,119,0.641,84.7,0.26
5zTPYkqj5FgpWcEcXFL6SdduT7gxRh32vESJZqCRDTf,54.7,44,0.793,36.9,0.5
GmxkTyBGCmoB8dGYjSAqgXAX8DYRibyW4N1tUM531Uq1,54.7,69,0.703,6.4,0.49
GsPQaUZicUdSzD3JDTLbf29Xtn9CcyFKSWqAiWwTmF2s,54.7,59,0.858,1.8,0.27
CXN5JecWrL4XNHiqH5czjCcCMXcRgaCzc268yzh8C4Up,54.7,101,0.702,0.3,0.27
